system:index,change_class,delta_recent,delta_total,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2022,ndvi_2024,.geo
0,0,-0.023865113,0.079007216,0.34526432,0.33269387,0.41619018,0.44813666,0.42427152,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.04037465,0.07470626,0.3092829,0.3102041,0.3617786,0.3436145,0.38398916,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.0074112676,0.104383565,0.60697675,0.591195,0.6315659,0.70394903,0.71136034,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,-0.056480017,-0.012037521,0.34453332,0.2946249,0.26848,0.38897583,0.3324958,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.049157735,0.11822651,0.4194079,0.4366272,0.5359496,0.48847666,0.53763443,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.008066804,0.0115740625,0.84811074,0.83885705,0.8453828,0.851618,0.8596848,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,-0.008528252,-0.01815448,0.8095983,0.81839347,0.8396825,0.7999721,0.7914438,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.121685,0.15505858,0.39168364,0.3488163,0.37077922,0.4250572,0.5467422,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.10374785,0.13521045,0.2858997,0.2495379,0.3825369,0.3173623,0.42111015,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.05276226,-0.07094805,0.47265205,0.3780017,0.3049499,0.34894174,0.401704,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.04190161,0.023866197,0.8558916,0.84007835,0.85568327,0.8378562,0.87975776,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,-0.025157692,-0.03772254,0.39286476,0.36555764,0.31632432,0.38029993,0.35514224,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.056684252,0.10605282,0.3724348,0.37389934,0.35857573,0.42180336,0.4784876,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.050829563,0.12198605,0.27561882,0.26437557,0.28507403,0.3467753,0.39760488,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0,-0.07648766,-0.053475313,0.5497149,0.46919632,0.41009372,0.57272726,0.4962396,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,-0.010172929,0.13995206,0.31139097,0.3550864,0.39148557,0.46151596,0.45134303,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,-0.08390375,0.11582725,0.40056023,0.4863222,0.591649,0.60029125,0.51638746,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,-0.08450093,0.03483589,0.29725656,0.2510349,0.3411592,0.41659337,0.33209243,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0,-0.028283268,0.05746421,0.37384847,0.30597308,0.38099316,0.45959595,0.43131268,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,0.06799599,0.18618973,0.18484405,0.20302352,0.22102894,0.3030378,0.3710338,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,-0.019605903,-0.039788514,0.64056,0.6233232,0.59499264,0.62037736,0.6007714,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.07401428,0.08504829,0.3784455,0.34962738,0.379015,0.3894795,0.4634938,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,-0.019598281,-0.0050981864,0.59522843,0.627287,0.63179046,0.6097285,0.5901302,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,-0.09273619,-0.12557565,0.69653654,0.7123002,0.6703079,0.6636971,0.5709609,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,-0.01358906,0.09710384,0.5094697,0.4975728,0.5770518,0.6201626,0.6065735,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,-0.0077356966,0.017766798,0.7306459,0.7005543,0.72772485,0.7561484,0.74841267,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0,-0.031746536,0.03255769,0.2709271,0.2343616,0.25845885,0.3352313,0.30348477,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0,-1.8403951E-4,-0.11858625,0.43495074,0.3872362,0.34023285,0.31654853,0.31636447,"{""type"":""MultiPoint"",""coordinates"":[]}"
